  TEMPO #       VELOCID #                  POSICAO #              dv/dt #              dxdt
   11.4 #       1388.4555735485683 #       16469.22660738092    # -9.75946979611176  # 1388.4555735485683
   11.5 #       1387.4796265689572 #       16608.072164735775   # -9.759045456844829 # 1387.4796265689572
   11.6 #       1386.5037220232728 #       16746.82012739267    # -9.758621443491915 # 1386.5037220232728
   11.7 #       1385.5278598789237 #       16885.470499594998   # -9.75819775597934  # 1385.5278598789237
   11.8 #       1384.5520401033257 #       17024.02328558289    # -9.757774394233483 # 1384.5520401033257
   11.9 #       1383.5762626639023 #       17162.478489593224   # -9.75735135818079  # 1383.5762626639023
   12.0 #       1382.6005275280843 #       17300.836115859616   # -9.75692864774778  # 1382.6005275280843
   12.1 #       1381.6248346633095 #       17439.096168612425   # -9.756506262861025 # 1381.6248346633095
   12.2 #       1380.6491840370234 #       17577.258652078755   # -9.756084203447166 # 1380.6491840370234
   12.3 #       1379.6735756166786 #       17715.32357048246    # -9.755662469432911 # 1379.6735756166786
   12.4 #       1378.6980093697352 #       17853.290928044127   # -9.75524106074503  # 1378.6980093697352
   12.5 #       1377.7224852636607 #       17991.1607289811     # -9.754819977310358 # 1377.7224852636607
   12.6 #       1376.7470032659296 #       18128.932977507466   # -9.754399219055793 # 1376.7470032659296
   12.7 #       1375.7715633440241 #       18266.607677834058   # -9.753978785908302 # 1375.7715633440241
   12.8 #       1374.7961654654332 #       18404.18483416846    # -9.753558677794912 # 1374.7961654654332
   12.9 #       1373.8208095976538 #       18541.664450715005   # -9.753138894642712 # 1373.8208095976538
   13.0 #       1372.8454957081894 #       18679.04653167477    # -9.752719436378866 # 1372.8454957081894
   13.1 #       1371.8702237645516 #       18816.33108124559    # -9.752300302930589 # 1371.8702237645516
   13.2 #       1370.8949937342586 #       18953.518103622046   # -9.751881494225172 # 1370.8949937342586
   13.3 #       1369.919805584836  #       19090.60760299547    # -9.75146301018996  # 1369.919805584836 
   13.4 #       1368.944659283817  #       19227.599583553954   # -9.751044850752374 # 1368.944659283817 
   13.5 #       1367.9695547987417 #       19364.494049482335   # -9.750627015839886 # 1367.9695547987417
   13.6 #       1366.9944920971577 #       19501.291004962208   # -9.750209505380042 # 1366.9944920971577
   13.7 #       1366.0194711466197 #       19637.990454171922   # -9.749792319300447 # 1366.0194711466197
   13.8 #       1365.0444919146896 #       19774.592401286583   # -9.74937545752877  # 1365.0444919146896
   13.9 #       1364.0695543689367 #       19911.096850478054   # -9.74895891999275  # 1364.0695543689367
   14.0 #       1363.0946584769374 #       20047.50380591495    # -9.748542706620187 # 1363.0946584769374
   14.1 #       1362.1198042062754 #       20183.813271762643   # -9.748126817338939 # 1362.1198042062754
   14.2 #       1361.1449915245414 #       20320.02525218327    # -9.747711252076936 # 1361.1449915245414
   14.3 #       1360.1702203993336 #       20456.139751335722   # -9.74729601076217  # 1360.1702203993336
   14.4 #       1359.1954907982574 #       20592.156773375656   # -9.746881093322692 # 1359.1954907982574
   14.5 #       1358.2208026889252 #       20728.076322455483   # -9.74646649968662  # 1358.2208026889252
   14.6 #       1357.2461560389565 #       20863.898402724375   # -9.746052229782146 # 1357.2461560389565
   14.7 #       1356.2715508159783 #       20999.62301832827    # -9.745638283537506 # 1356.2715508159783
   14.8 #       1355.2969869876247 #       21135.25017340987    # -9.745224660881014 # 1355.2969869876247
   14.9 #       1354.3224645215366 #       21270.779872108633   # -9.744811361741048 # 1354.3224645215366
   15.0 #       1353.3479833853626 #       21406.212118560787   # -9.744398386046036 # 1353.3479833853626
